StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1. Multiple choice,Q45,3. Short answer,Q46,Q47,Q49,Q48,Q50,Q51,Q52,Q53,Q54,Q55,Q57,Q56,4. Multiple choice,Q58,5. Multiple choice,Q59,6. Multiple choice,Q60,7. Multiple choice,Q61,8. Multiple choice,Q62,13.,Q63,Q64,Q65,10. Multiple choice,Q67,12.,Q68,15.,16.
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I have read the above information and understand that by selecting “Yes,” I voluntarily
consent to participate in this survey.","Have you ever encountered gendered language or metaphors in a professional or educational context as a scientist (professional or in-training) in the geosciences, earth, environmental, or planetary sciences?
Examples: referring to the ocean as “she”, using romance-style short story to describe orogeny, Spanx as a metaphor for isostatic adjustment","Please provide an example of the type of words or tell us
about what was said (including any examples listed above, if you have encountered
them).","Have you ever encountered sexual language or metaphors in a professional or educational context as a scientist (professional or in-training) in the geosciences, earth, environmental, or planetary sciences?
Examples: describing geology as a “turn on”, describing results as “sexy”, jokes about “my hardness scale”, likening geodynamic/tectonic cartoons to phallic shapes, lubed up, fault slip described as having “6 inches of KY jelly”","Please provide an example of the type of words or tell us about what was said (including any examples listed above, if you have encountered them).","Have you ever encountered gendered or sexual language in technical terms, jargon, or official place names in a professional or educational context as a scientist (professional or in-training) in the geosciences, earth, environmental, or planetary sciences?
Examples: eclogite “knockers”, mastodon, Mollys Nipple (Utah, USA)","Please provide an example of the type of words or tell us about what was said (including any examples listed above, if you have encountered them).","Have you ever encountered sexist language or imagery in a professional or educational context as a scientist (professional or in-training) in the geosciences, earth, environmental, or planetary sciences
Examples: photo of art with naked woman to describe denudation, romantic image of couple in hot tub to describe sea-level rise","Please provide an example of the type of words or tell us about what was said (including any examples listed above, if you have encountered them).","Have you ever encountered racially-gendered language in a professional or educational context as a scientist (professional or in-training) in the geosciences, earth, environmental, or planetary sciences?
Examples: racially-gendered slurs or slang, including place names","Please provide an example of the type of words or tell us about what was said (including any examples listed above, if you have encountered them).","Have you ever encountered LGBTQ-centered language in a professional or educational context as a scientist (professional or in-training) in the geosciences, earth, environmental, or planetary sciences?
Examples: making lesbian jokes with geologic dikes, “check out that dike on dike action","Please provide an example of the type of words or tell us about what was said (including any examples listed above, if you have encountered them).","Have you ever encountered other gendered, sexist, and/or sexual language that we have not detailed here in a professional or educational context as a scientist (professional or in-training) in the geosciences, earth, environmental, or planetary sciences?","Please provide an example of the type of words or tell us about what was said (including any examples listed above, if you have encountered them).","Select one or more options that describe your subdiscipline.

(check all that apply)","If other, please specify:","Select the primary scientific tool(s) you use.

(check all that apply)","If other, please specify:",Why did you choose to take the question tour?,"If other, please specify:",Choose the option that best describes your current career position.,"If other, please specify:","What is your gender? 
(Check all that apply)","If your gender was not listed, please specify:",What was your sex assigned at birth?,"If other, please specify:","Do you identify with any of the following sexual orientations? 
(Check all that apply)","If other, please specify:","Select one or more options that most closely describe your racial identity.
(Check all that
apply, if living outside of a US racial context use the categories that speak best to you, or use the
“other” box to describe)","If other, please specify:","What is your ethnicity? 
(Check all that apply)","If other, please specify:",What is your country of origin?,What is your country of current residence?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21""}","{""ImportId"":""QID49""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID63_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}"
2024-12-06 10:48:08,2024-12-06 10:53:23,IP Address,206.83.109.138,100,314,True,2024-12-06 10:53:24,R_4uwSDrRfom06ijv,,,,,35.6893,139.6899,anonymous,EN,Yes,Yes,she to refer to the ocean,Yes,"results being described as sexy, lots of metaphors for drilling-related activities and sex",Yes,knockers,No,,No,,Yes,dike jokes,,,Mineral and Rock Physics/Chemistry,,"Fieldwork,Labwork",,"Cenozoic (Quaternary, Neogene, Eogene)",,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Woman or woman identified,,Female,,Straight,,White,,Not Hispanic or Latinx,,USA,USA
2024-12-06 10:50:47,2024-12-06 10:55:41,IP Address,169.233.134.132,100,293,True,2024-12-06 10:55:42,R_3Jw2wufZ9uOgE3c,,,,,37.0315,-122.1261,anonymous,EN,Yes,Yes,,Yes,"Referring to homoclines as ""homos"", remembering the chemical formula for Wollastonite with the phrase: I have to check my CaSiO3 (watch) to see if I wollastonite (will last tonight)",Yes,Dikes/dykes,Yes,,No,,Yes,see previous responses,,,"Earth Surface + Lithosphere,Earth and Planetary Surface Processes/Geomorphology,Near-Surface Geophysics",,"Fieldwork,Labwork",,"Post-industrial era (post-1750 CE),Cenozoic (Quaternary, Neogene, Eogene)",,Graduate student,,"Woman or woman identified,Genderqueer/gender non-conforming",,Female,,"Bisexual,Pansexual,Queer",,Prefer not to reply,,Prefer not to say,,USA,USA
2024-12-06 10:55:09,2024-12-06 11:08:05,IP Address,73.93.80.6,100,775,True,2024-12-06 11:08:05,R_3rAWePCsWiOieHv,,,,,37.0315,-122.1261,anonymous,EN,Yes,Yes,Ocean as she.,Yes,"""Sexy"" results
Phallic descriptions of stalactites/stalagmites",Yes,"Had to ""correct"" an undergrad in the field for going off on ""knockers""
Many examples of terms for sexual organs in formal literature: Tetons (breasts), mastodons, priapulid worms, etc.",Yes,A sedimentologist working on modern carbonate systems routinely showing is graduate students in skimpy swim wear during professional talks.,Yes,Largely in place names involving indigenous women,No,,No,,Biogeosciences/Geobiology,,Labwork,,"Cenozoic (Quaternary, Neogene, Eogene)",,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Man or man identified,,Male,,Gay,,White,,Not Hispanic or Latinx,,USA,USA
2024-12-06 10:59:08,2024-12-06 11:20:04,IP Address,172.59.161.153,100,1255,True,2024-12-06 11:20:04,R_5jlB9PMXj8uwy8A,,,,,37.3313,-121.8401,anonymous,EN,Yes,No,,No,,Yes,"Linnaean names for plants often are ",No,,Yes,Outdated common names for plants ex Indian pipe,No,,Yes,Male supervisors directly saying that they don’t hire women because they are less capable.,Biogeosciences/Geobiology,,"Fieldwork,Labwork",,Post-industrial era (post-1750 CE),,Graduate student,,Woman or woman identified,,Female,,Bisexual,,"Asian,White",,Not Hispanic or Latinx,,,USA
2024-12-06 10:55:45,2024-12-06 11:20:05,IP Address,35.151.50.164,100,1460,True,2024-12-06 11:20:05,R_7SqmYJXuQ2PfbWJ,,,,,35.168,-120.4644,anonymous,EN,Yes,Yes,"nature as ""she/her""",Yes,"describing results as sexy, terms used out of context to make sexual metaphors or jokes : interfingering/inter-tonguing, thrust",Yes,knockers,No,,No,,Yes,"terms used out of context to make a metaphor or joke: dike, dry hole",No,,"Hydrology,Earth and Planetary Surface Processes/Geomorphology,Mineral and Rock Physics/Chemistry",,"Fieldwork,Labwork,Modeling/theory",,Post-industrial era (post-1750 CE),,Graduate student,,Woman or woman identified,,Female,,Straight,,White,,,,United State of America,United State of America
2024-12-06 11:41:14,2024-12-06 11:43:51,IP Address,206.21.44.84,100,157,True,2024-12-06 11:43:52,R_7CKml3eGRo5ttga,,,,,41.0743,-81.5129,anonymous,EN,Yes,No,,No,,No,,No,,No,,No,,No,,"Hydrology,Earth Surface + Lithosphere,Earth and Planetary Surface Processes/Geomorphology,Geochronology",,Modeling/theory,,"Cenozoic (Quaternary, Neogene, Eogene)",,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Prefer not to say,,Prefer not to say,,Prefer not to say,,Other,Human,Other,Human,USA,USA
2024-12-06 11:41:17,2024-12-06 11:45:18,IP Address,129.222.201.31,100,241,True,2024-12-06 11:45:18,R_7R7xjFQos7VwxTb,,,,,19.4203,-99.1193,anonymous,EN,Yes,Yes,"Inherited language, e.g.,:
Mother Earth and so on",Yes,Lots of use of 'sexy' to describe results/abstracts,No,,No,,No,,No,,No,,"Fluid Earth + Climate,Hydrology",,,,Post-industrial era (post-1750 CE),,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Man or man identified,,Male,,Straight,,Asian,,Not Hispanic or Latinx,,Philippines,USA
2024-12-06 11:43:20,2024-12-06 11:48:13,IP Address,73.171.41.204,100,292,True,2024-12-06 11:48:14,R_1Wq4kPapKtsRsQh,,,,,37.2532,-80.4347,anonymous,EN,Yes,No,,No,,No,,No,,No,,No,,No,,Earth and Planetary Surface Processes/Geomorphology,,"Fieldwork,Labwork,Modeling/theory",,"Post-industrial era (post-1750 CE),Cenozoic (Quaternary, Neogene, Eogene)",,Postdoc,,Woman or woman identified,,,,,,,,,,usa,usa
2024-12-06 11:44:38,2024-12-06 11:49:18,IP Address,69.143.237.236,100,280,True,2024-12-06 11:49:19,R_5kqerxxFl8UO7Km,,,,,38.9489,-76.9352,anonymous,EN,Yes,Yes,"In planetary science, we have a habit of using the term “manned” for missions with astronauts. Thankfully, NASA has moved toward the term “crewed” but “manned” is still often used informally.

Also, and this feels silly to say, but the use of the term “cleavage” makes education settings awkward when teaching students about rocks and minerals. I don’t think the term should change, but I did want to note that it sometimes brings discomfort",No,,No,,No,,No,,No,,,,"Geomagnetism, Paleomagnetism and Electromagnetism,Planetary Sciences",,Modeling/theory,,Other,Planetary timescales from solar system formation to the present day,Postdoc,,Woman or woman identified,,Female,,"Queer,Asexual",,White,,Not Hispanic or Latinx,,USA,USA
2024-12-06 11:44:50,2024-12-06 11:50:10,IP Address,130.195.253.32,100,320,True,2024-12-06 11:50:11,R_4QqWhq350zhOKKl,,,,,-41.2971,174.7932,anonymous,EN,Yes,No,,Yes,"""geomorphology porn"" for nice pictures of landscapes
""sexy"" to describe a popular/controversial/timely topic in earth sciences",Yes,Grand Teton...,No,,No,,No,,Yes,"The classic for me is old textbooks that describe ""the engineer"" or ""the geoscientist"" as male. Henderson (1966) ""Open Channel Flow"" is the chief example that comes to mind.","Hydrology,Earth and Planetary Surface Processes/Geomorphology",,"Fieldwork,Labwork,Other",Remote sensing,Post-industrial era (post-1750 CE),,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Woman or woman identified,,Female,,Straight,,White,,Not Hispanic or Latinx,,New Zealand,New Zealand
2024-12-06 11:47:56,2024-12-06 11:50:11,IP Address,216.147.123.114,100,135,True,2024-12-06 11:50:12,R_52EbFT1a052LYQj,,,,,39.7388,-104.9868,anonymous,EN,Yes,No,,No,,No,,No,,No,,No,,No,,"Earth Surface + Lithosphere,Natural Hazards,Tectonophysics",,"Fieldwork,Labwork",,"Cenozoic (Quaternary, Neogene, Eogene)",,"Faculty (tenure-track, teaching, research, adjunct)/ Research scientist/ Staff scientist or equivalent)",,Genderqueer/gender non-conforming,,Intersex,,"Pansexual,Queer",,Black or African American,,Hispanic or Latinx,,,
